parameter,time_year,response_type,S1,S1_conf,ST,ST_conf,rank_S1,rank_ST
Cs,20.0,margin,0.004904162951041617,0.008214853166103436,0.020553431774548277,0.003144343552382836,5.0,5.0
D28,20.0,margin,0.018127532146625516,0.010445550728468095,0.03210985054261003,0.004083520290279026,4.0,4.0
m_aging,20.0,margin,0.10094576858192358,0.026604842513447812,0.1827643510201528,0.020624419973273248,2.0,2.0
cover_mm,20.0,margin,0.6709689186720379,0.05718626262168186,0.7805290301090965,0.05391485513615386,1.0,1.0
Ccrit,20.0,margin,0.09226036515210888,0.02026999882719469,0.09217084655901343,0.00835943841659489,3.0,3.0
Cs,20.0,normalized_margin,0.006029939487820982,0.009516769705248165,0.022327932325424394,0.0033645230178411803,4.0,4.0
D28,20.0,normalized_margin,0.01998749772512976,0.012461192104121381,0.03514204345215603,0.004324103247563909,3.0,3.0
m_aging,20.0,normalized_margin,0.10976923022223652,0.028499707270080152,0.20160102055759188,0.02193622622991095,2.0,2.0
cover_mm,20.0,normalized_margin,0.7279031439118164,0.06229252620588155,0.8546777152441505,0.06938808938948635,1.0,1.0
Ccrit,20.0,normalized_margin,0.005329092773799006,0.006672651196818963,0.017963013116679066,0.0030589787466055196,5.0,5.0
Cs,40.0,margin,0.013493294939512044,0.009930092622762397,0.02768108783648964,0.0036364783890153623,5.0,4.0
D28,40.0,margin,0.019096360148158485,0.01094012979996392,0.026288658856754944,0.0025577906949660785,4.0,5.0
m_aging,40.0,margin,0.14272193252661966,0.026738699215186686,0.1928868098585988,0.018934288649074767,2.0,2.0
cover_mm,40.0,margin,0.7173348583805652,0.05139432948996545,0.7825668848598547,0.053861453642162736,1.0,1.0
Ccrit,40.0,margin,0.03669229374329361,0.013095643869686768,0.036891114015340065,0.0033227934299731804,3.0,3.0
Cs,40.0,normalized_margin,0.014617608418197337,0.00978722988857417,0.028242233724783364,0.0037127735931055477,4.0,3.0
D28,40.0,normalized_margin,0.01909746581437495,0.009802212223786947,0.02700811123727721,0.0025555567481945042,3.0,4.0
m_aging,40.0,normalized_margin,0.1445792333211157,0.026291394361048055,0.19833538638937376,0.01798666368993864,2.0,2.0
cover_mm,40.0,normalized_margin,0.7298496436758842,0.04797256632699915,0.8045803512557689,0.05315052658465844,1.0,1.0
Ccrit,40.0,normalized_margin,0.009807423517449886,0.007415893221766537,0.022417523795343397,0.003212050611023243,5.0,5.0
Cs,60.0,margin,0.020156673953723694,0.010387613621459532,0.0334617584081784,0.004056510284824199,4.0,3.0
D28,60.0,margin,0.01958113946742437,0.010346564855589655,0.024229262985214932,0.0023067334608985646,5.0,5.0
m_aging,60.0,margin,0.17004578230068743,0.029242113292995534,0.20363609679672326,0.015358237678751876,2.0,2.0
cover_mm,60.0,margin,0.7157093943518936,0.05232071754038458,0.7600518230256219,0.05097510769164102,1.0,1.0
Ccrit,60.0,margin,0.024926783220943792,0.009245873096871764,0.025186361934486957,0.0020208324704558043,3.0,4.0
Cs,60.0,normalized_margin,0.021150427869764555,0.011168674900858636,0.03362134203390519,0.0037991588376795776,3.0,3.0
D28,60.0,normalized_margin,0.019156858934469462,0.009456353829721644,0.024480196810660004,0.0024086573142486837,4.0,5.0
m_aging,60.0,normalized_margin,0.16908084986071834,0.02533805659663232,0.2053706363892377,0.018405585495515367,2.0,2.0
cover_mm,60.0,normalized_margin,0.7162250583983084,0.04933847816865092,0.7689080901940896,0.04821292177636878,1.0,1.0
Ccrit,60.0,normalized_margin,0.013857783471140155,0.011422742919756085,0.02660554916558793,0.0032715978901029837,5.0,4.0
