requested_year,nearest_t_year,cover_group,series_count,Pf,candidate
20.0,20.008213552361397,40-60 mm,280,0.010714285714285714,A
20.0,20.008213552361397,60-80 mm,276,0.0,A
20.0,20.008213552361397,80-110 mm,444,0.0,A
40.0,40.016427104722794,40-60 mm,280,0.14642857142857144,A
40.0,40.016427104722794,60-80 mm,276,0.0,A
40.0,40.016427104722794,80-110 mm,444,0.0,A
60.0,59.94798083504449,40-60 mm,280,0.30714285714285716,A
60.0,59.94798083504449,60-80 mm,276,0.021739130434782608,A
60.0,59.94798083504449,80-110 mm,444,0.0022522522522522522,A
20.0,20.008213552361397,40-60 mm,280,0.06785714285714285,B
20.0,20.008213552361397,60-80 mm,276,0.0,B
20.0,20.008213552361397,80-110 mm,444,0.0,B
40.0,40.016427104722794,40-60 mm,280,0.41785714285714287,B
40.0,40.016427104722794,60-80 mm,276,0.028985507246376812,B
40.0,40.016427104722794,80-110 mm,444,0.0,B
60.0,59.94798083504449,40-60 mm,280,0.6392857142857142,B
60.0,59.94798083504449,60-80 mm,276,0.11231884057971014,B
60.0,59.94798083504449,80-110 mm,444,0.0022522522522522522,B
20.0,20.008213552361397,40-60 mm,280,0.17142857142857143,C
20.0,20.008213552361397,60-80 mm,276,0.0,C
20.0,20.008213552361397,80-110 mm,444,0.0,C
40.0,40.016427104722794,40-60 mm,280,0.6107142857142858,C
40.0,40.016427104722794,60-80 mm,276,0.07971014492753623,C
40.0,40.016427104722794,80-110 mm,444,0.0,C
60.0,59.94798083504449,40-60 mm,280,0.8142857142857143,C
60.0,59.94798083504449,60-80 mm,276,0.2753623188405797,C
60.0,59.94798083504449,80-110 mm,444,0.013513513513513514,C
